package_type,distance_km,weight_kg,urgency,transport_mode,route_duration_hours,eta_hours,dataset_type
Other,72.35,96.33,Critical,Truck,1.57,1.79,synthetic
Fragile,599.99,49.21,Critical,Truck,14.19,12.95,synthetic
Fragile,241.23,3.62,Low,Truck,4.87,6.56,synthetic
Apparel,242.19,25.16,High,Truck,4.98,4.93,synthetic
Industrial,245.37,32.51,Medium,Truck,5.07,5.1,synthetic
Fragile,64.31,19.94,Low,Van,1.65,2.23,synthetic
Pharmaceutical,507.61,81.38,High,Truck,9.91,10.37,synthetic
Other,198.55,20.22,Critical,Van,5.01,3.97,synthetic
Food,233.84,99.46,Medium,Truck,5.32,5.43,synthetic
Documents,157.98,46.73,Medium,Van,3.96,4.65,synthetic
Fragile,96.46,94.3,Low,Truck,2.07,2.91,synthetic
Pharmaceutical,206.67,16.93,High,Truck,4.85,4.89,synthetic
Fragile,253.96,16.74,High,Truck,5.63,5.88,synthetic
Documents,110.03,17.2,Medium,Van,2.84,2.79,synthetic
Documents,126.23,26.28,High,Van,3.15,3.08,synthetic
Documents,539.68,20.48,High,Truck,12.58,12.18,synthetic
Fragile,34.63,22.47,Medium,Van,0.78,0.74,synthetic
Electronics,170.73,440.99,Medium,Truck,3.94,4.77,synthetic
Other,134.68,75.18,Medium,Van,3.62,3.28,synthetic
Food,173.34,36.49,Critical,Van,3.89,3.13,synthetic
Food,834.11,66.89,High,Truck,17.72,16.37,synthetic
Fragile,45.65,18.9,Medium,Van,1.02,1.33,synthetic
Fragile,166.24,79.17,Critical,Van,4.31,4.07,synthetic
Food,126.45,3.0,Medium,Van,3.2,3.32,synthetic
Apparel,231.78,13.13,Low,Truck,4.9,6.27,synthetic
Food,47.77,4.85,Low,Van,1.2,1.21,synthetic
Industrial,105.1,10.0,Medium,Van,2.57,2.43,synthetic
Industrial,196.27,15.77,High,Van,5.03,5.22,synthetic
Other,391.72,44.91,High,Truck,8.9,8.2,synthetic
Food,542.4,30.52,Medium,Truck,11.14,11.2,synthetic
Pharmaceutical,83.87,60.07,Medium,Van,1.81,1.99,synthetic
Pharmaceutical,248.81,30.43,Critical,Truck,5.93,5.47,synthetic
Food,154.13,24.0,Medium,Van,4.16,4.78,synthetic
Fragile,131.53,204.67,Medium,Truck,2.94,3.24,synthetic
Other,112.51,30.05,High,Van,2.52,2.06,synthetic
Food,395.14,4.64,Medium,Truck,8.64,9.02,synthetic
Electronics,91.02,23.93,High,Air,0.17,0.3,synthetic
Documents,395.65,188.61,Low,Truck,7.92,9.84,synthetic
Industrial,47.12,146.81,Medium,Truck,1.06,1.33,synthetic
Other,806.77,132.85,Low,Truck,19.16,23.24,synthetic
Electronics,419.82,55.34,Critical,Truck,9.61,7.91,synthetic
Other,419.52,71.92,Medium,Truck,8.41,9.1,synthetic
Food,132.43,3.86,Medium,Van,3.41,2.99,synthetic
Documents,221.72,8.51,Medium,Truck,4.83,5.55,synthetic
Pharmaceutical,127.78,248.41,Critical,Truck,2.76,3.04,synthetic
Industrial,110.02,34.21,Critical,Van,2.97,2.28,synthetic
Industrial,279.71,51.85,Low,Truck,6.46,7.77,synthetic
Electronics,178.46,7.94,Medium,Van,3.99,4.57,synthetic
Documents,192.42,4.71,High,Van,5.22,4.84,synthetic
Electronics,96.34,78.93,High,Van,2.39,2.47,synthetic
Industrial,166.61,188.13,Medium,Truck,3.63,4.08,synthetic
Fragile,222.09,22.06,High,Truck,4.74,5.33,synthetic
Food,264.58,15.02,Medium,Truck,5.0,5.26,synthetic
Apparel,291.33,18.27,Medium,Truck,5.83,6.33,synthetic
Pharmaceutical,407.52,75.48,Critical,Truck,8.11,7.62,synthetic
Electronics,116.99,318.55,Critical,Truck,2.44,1.88,synthetic
Industrial,216.36,10.25,Critical,Truck,4.59,3.67,synthetic
Apparel,218.99,37.73,Medium,Truck,4.77,5.16,synthetic
Food,302.22,44.98,Medium,Truck,6.56,7.89,synthetic
Industrial,38.94,24.33,Medium,Van,0.95,1.25,synthetic
Food,111.52,13.5,High,Van,2.63,2.26,synthetic
Pharmaceutical,157.72,83.8,High,Truck,3.0,3.25,synthetic
Industrial,98.94,107.55,High,Truck,2.34,2.72,synthetic
Fragile,385.01,9.55,High,Truck,8.33,8.57,synthetic
Fragile,156.07,183.63,Medium,Truck,3.43,4.04,synthetic
Other,148.33,13.6,Medium,Van,3.25,2.69,synthetic
Electronics,89.22,68.54,High,Van,1.99,1.67,synthetic
Electronics,103.77,7.08,High,Van,2.67,2.36,synthetic
Food,194.7,42.4,Critical,Van,5.26,4.71,synthetic
Fragile,167.85,65.4,Critical,Van,4.56,4.53,synthetic
Fragile,220.95,16.08,Medium,Truck,4.45,5.0,synthetic
Apparel,117.67,106.91,Critical,Van,2.82,2.86,synthetic
Apparel,146.66,5.09,Critical,Air,0.23,0.31,synthetic
Electronics,347.95,17.61,Critical,Truck,6.88,5.42,synthetic
Apparel,74.65,23.04,Critical,Van,1.63,1.8,synthetic
Documents,300.84,3.8,Medium,Truck,6.28,6.59,synthetic
Documents,502.84,199.51,High,Truck,11.81,11.64,synthetic
Pharmaceutical,93.85,12.6,Medium,Van,2.35,3.05,synthetic
Documents,99.02,112.55,Low,Truck,2.29,2.74,synthetic
Electronics,117.11,20.94,Critical,Van,2.79,2.56,synthetic
Fragile,289.04,21.31,High,Truck,6.1,6.8,synthetic
Industrial,232.13,37.59,High,Truck,4.47,3.75,synthetic
Industrial,168.06,17.0,Medium,Van,4.48,4.55,synthetic
Documents,414.71,224.59,Low,Truck,9.84,12.36,synthetic
Other,153.23,9.51,High,Van,3.53,3.53,synthetic
Pharmaceutical,290.63,39.12,Medium,Truck,6.18,7.12,synthetic
Food,30.19,8.09,Low,Van,0.74,0.75,synthetic
Other,220.85,100.01,Critical,Truck,4.5,3.62,synthetic
Industrial,217.25,5.15,Critical,Truck,4.16,3.33,synthetic
Pharmaceutical,132.09,49.39,Low,Van,3.17,3.87,synthetic
Documents,258.68,31.96,Medium,Truck,5.37,5.71,synthetic
Apparel,862.57,29.89,Critical,Truck,18.75,15.23,synthetic
Other,246.86,15.45,Critical,Truck,4.79,3.6,synthetic
Industrial,355.06,61.23,Low,Truck,8.09,9.67,synthetic
Electronics,254.33,34.18,Critical,Truck,5.22,4.08,synthetic
Industrial,82.33,30.08,Low,Van,2.21,2.1,synthetic
Documents,264.93,3.56,Medium,Truck,5.03,5.21,synthetic
Pharmaceutical,64.74,41.8,Medium,Van,1.55,1.96,synthetic
Fragile,110.69,2.75,Critical,Van,2.46,2.08,synthetic
Food,253.75,27.32,Low,Truck,5.99,7.06,synthetic
Industrial,187.55,25.78,Medium,Van,4.41,4.66,synthetic
Documents,140.0,3.76,High,Van,3.62,3.44,synthetic
Documents,231.51,8.65,Medium,Truck,5.48,5.27,synthetic
Pharmaceutical,370.52,8.28,Low,Truck,8.5,11.26,synthetic
Food,198.96,15.51,Low,Van,4.7,6.07,synthetic
Apparel,181.8,40.83,High,Van,4.26,4.41,synthetic
Electronics,64.0,7.29,High,Van,1.72,1.67,synthetic
Fragile,491.31,38.02,High,Truck,10.68,11.6,synthetic
Fragile,404.55,12.91,High,Truck,9.2,9.31,synthetic
Food,239.69,5.73,Medium,Truck,4.52,4.68,synthetic
Electronics,140.41,11.74,Low,Van,3.71,4.21,synthetic
Industrial,123.17,131.32,High,Truck,2.63,2.16,synthetic
Food,118.14,11.96,Low,Van,3.07,2.76,synthetic
Food,142.92,29.27,Critical,Van,3.27,2.36,synthetic
Other,18.96,9.7,Critical,Van,0.51,1.1,synthetic
Pharmaceutical,326.18,25.11,High,Truck,7.74,8.18,synthetic
Industrial,164.49,16.77,High,Van,4.12,3.65,synthetic
Industrial,494.55,41.23,High,Truck,11.34,10.29,synthetic
Documents,128.94,21.2,High,Van,2.88,2.27,synthetic
Apparel,230.5,11.68,Medium,Truck,4.75,4.78,synthetic
Documents,154.55,17.03,Critical,Van,3.86,3.19,synthetic
Electronics,188.82,38.2,Medium,Van,4.07,4.03,synthetic
Documents,148.11,11.28,Low,Van,3.77,4.58,synthetic
Food,159.33,29.97,Low,Van,4.36,5.36,synthetic
Pharmaceutical,154.03,17.14,High,Van,3.55,4.23,synthetic
Documents,31.23,113.65,Medium,Truck,0.62,0.53,synthetic
Other,387.19,15.18,Low,Truck,7.91,9.64,synthetic
Food,264.04,9.14,High,Truck,5.84,5.15,synthetic
Industrial,530.85,19.6,Critical,Truck,10.33,8.66,synthetic
Industrial,216.82,3.43,Medium,Truck,5.05,5.02,synthetic
Electronics,212.65,5.11,Critical,Truck,4.58,4.32,synthetic
Industrial,440.12,17.19,Low,Truck,10.13,11.8,synthetic
Other,65.29,46.61,Medium,Van,1.64,1.64,synthetic
Documents,1349.61,43.8,High,Air,2.26,1.6,synthetic
Other,614.21,50.61,Medium,Truck,14.12,14.8,synthetic
Fragile,158.89,6.63,High,Van,4.01,3.69,synthetic
Industrial,422.52,28.58,High,Truck,8.55,7.33,synthetic
Apparel,96.77,207.2,High,Truck,2.12,1.41,synthetic
Other,545.24,65.37,Low,Truck,10.94,13.0,synthetic
Apparel,158.01,18.95,High,Van,3.44,3.64,synthetic
Food,1189.96,16.27,Low,Truck,25.65,30.2,synthetic
Fragile,110.04,11.34,Low,Van,2.77,4.16,synthetic
Other,172.55,47.78,High,Van,4.3,4.09,synthetic
Electronics,503.09,63.73,Critical,Truck,11.47,9.67,synthetic
Pharmaceutical,529.48,7.25,Low,Truck,12.61,16.58,synthetic
Fragile,320.02,14.16,Low,Truck,6.57,8.85,synthetic
Fragile,308.44,269.85,High,Truck,6.08,6.77,synthetic
Industrial,67.44,17.91,Medium,Van,1.8,1.51,synthetic
Documents,794.96,35.08,High,Truck,17.11,16.62,synthetic
Pharmaceutical,1160.5,3.21,Medium,Truck,26.24,30.62,synthetic
Other,42.53,22.21,Medium,Van,1.11,0.68,synthetic
Electronics,119.5,6.64,High,Van,2.82,2.22,synthetic
Fragile,199.45,8.49,Critical,Van,4.71,4.31,synthetic
Apparel,160.07,20.8,High,Air,0.26,0.3,synthetic
Other,768.53,91.89,Medium,Truck,14.71,15.9,synthetic
Fragile,399.08,28.75,Low,Truck,8.43,10.87,synthetic
Pharmaceutical,205.85,23.4,Low,Truck,4.53,5.52,synthetic
Pharmaceutical,97.02,33.73,High,Van,2.59,3.18,synthetic
Food,174.92,81.57,High,Truck,3.87,3.04,synthetic
Fragile,390.4,2.5,Low,Bike,17.23,22.49,synthetic
Industrial,486.86,21.51,High,Train,6.75,6.0,synthetic
Fragile,643.7,22.08,Medium,Truck,13.58,16.09,synthetic
Documents,58.34,52.42,Medium,Van,1.38,1.35,synthetic
Other,204.39,208.52,Medium,Truck,4.3,4.63,synthetic
Other,341.54,44.0,Medium,Truck,7.11,7.93,synthetic
Food,119.7,10.83,Medium,Truck,2.45,2.87,synthetic
Food,123.77,137.04,Low,Truck,2.48,3.12,synthetic
Pharmaceutical,358.01,15.32,High,Truck,7.85,8.96,synthetic
Fragile,74.85,32.94,Medium,Van,1.91,2.61,synthetic
Other,183.61,15.08,Low,Bike,8.64,10.03,synthetic
Industrial,376.43,57.23,Critical,Truck,8.43,6.93,synthetic
Fragile,88.29,20.55,Medium,Van,1.94,2.69,synthetic
Pharmaceutical,327.69,46.91,High,Truck,7.6,8.37,synthetic
Other,113.45,62.31,Medium,Van,3.02,3.05,synthetic
Other,267.89,11.6,Low,Truck,5.58,6.77,synthetic
Other,209.4,29.0,Medium,Truck,4.38,4.75,synthetic
Apparel,208.23,282.59,Medium,Truck,3.94,5.02,synthetic
Industrial,107.92,6.23,Medium,Van,2.81,2.93,synthetic
Pharmaceutical,281.63,46.63,Medium,Truck,6.47,8.16,synthetic
Industrial,74.79,78.25,Medium,Van,2.0,1.93,synthetic
Food,135.06,16.5,Medium,Van,3.35,3.88,synthetic
Documents,127.68,13.21,Low,Train,2.01,3.06,synthetic
Documents,69.88,31.25,High,Van,1.8,1.1,synthetic
Food,98.3,24.28,Low,Van,2.24,2.64,synthetic
Other,215.27,73.88,Critical,Truck,4.43,3.59,synthetic
Documents,84.41,8.68,Critical,Van,2.23,1.32,synthetic
Food,83.95,19.7,Medium,Van,1.81,1.6,synthetic
Industrial,195.89,72.39,Critical,Van,5.2,3.66,synthetic
Other,252.61,35.71,High,Truck,5.19,4.92,synthetic
Food,276.1,8.48,Critical,Truck,6.41,5.76,synthetic
Pharmaceutical,76.76,172.39,Medium,Truck,1.56,1.81,synthetic
Documents,309.52,32.1,Medium,Truck,7.12,7.46,synthetic
Other,166.81,186.56,Critical,Truck,3.43,3.41,synthetic
Documents,133.48,8.66,High,Van,3.06,2.21,synthetic
Other,421.71,29.14,High,Truck,8.3,7.36,synthetic
Pharmaceutical,55.97,37.43,Low,Van,1.47,1.59,synthetic
Pharmaceutical,387.86,32.21,High,Truck,9.07,9.52,synthetic
Industrial,409.71,116.29,High,Truck,8.79,8.56,synthetic
Apparel,631.04,10.22,Critical,Truck,14.72,12.46,synthetic
Apparel,266.4,74.16,Critical,Truck,5.89,4.35,synthetic
Apparel,209.79,8.9,High,Air,0.32,0.3,synthetic
Other,466.19,24.97,Medium,Truck,9.63,10.52,synthetic
Other,331.81,63.24,High,Truck,7.55,6.89,synthetic
Apparel,481.99,21.91,Medium,Truck,11.03,11.77,synthetic
Electronics,587.0,10.2,High,Truck,12.94,11.85,synthetic
Other,227.79,7.45,High,Truck,4.82,5.07,synthetic
Other,88.58,134.84,High,Truck,2.08,1.75,synthetic
Food,126.27,8.97,Medium,Van,3.02,3.22,synthetic
Electronics,410.17,4.83,Low,Truck,9.49,11.33,synthetic
Fragile,348.57,13.68,Low,Truck,7.44,9.68,synthetic
Pharmaceutical,85.72,15.87,Medium,Van,2.32,3.07,synthetic
Electronics,57.15,8.85,Medium,Van,1.33,1.74,synthetic
Food,852.62,10.59,Low,Truck,18.65,21.97,synthetic
Documents,173.95,21.11,Medium,Van,3.99,3.98,synthetic
Apparel,190.44,11.24,Medium,Van,4.82,4.56,synthetic
Apparel,136.98,22.88,Medium,Van,2.98,3.21,synthetic
Industrial,257.58,12.1,Medium,Truck,5.45,5.97,synthetic
Industrial,437.28,85.85,High,Train,7.43,6.49,synthetic
Other,108.86,12.73,Low,Van,2.72,3.21,synthetic
Electronics,387.24,20.92,Critical,Truck,7.46,6.7,synthetic
Pharmaceutical,480.07,15.6,High,Truck,11.15,11.21,synthetic
Fragile,183.92,4.21,High,Van,4.68,4.85,synthetic
Food,141.1,24.45,Medium,Van,3.18,3.43,synthetic
Food,180.03,31.64,High,Van,4.19,4.0,synthetic
Apparel,167.93,25.37,High,Van,3.64,3.63,synthetic
Pharmaceutical,631.88,12.63,High,Truck,13.84,14.58,synthetic
Documents,228.73,12.38,Critical,Truck,4.64,4.07,synthetic
Documents,174.53,16.18,Low,Van,3.99,5.01,synthetic
Electronics,376.75,12.53,High,Truck,7.66,7.2,synthetic
Documents,198.15,14.79,Medium,Truck,3.83,4.14,synthetic
Apparel,88.99,24.95,Low,Bike,4.27,5.03,synthetic
Industrial,130.66,167.91,Low,Truck,3.0,3.99,synthetic
Industrial,356.15,74.7,High,Truck,6.97,6.34,synthetic
Other,72.36,105.7,Medium,Truck,1.55,1.79,synthetic
Industrial,539.09,3.64,Low,Truck,10.45,12.57,synthetic
Electronics,631.4,147.28,High,Truck,13.15,12.19,synthetic
Industrial,353.53,9.23,Medium,Truck,7.98,8.04,synthetic
Industrial,206.65,7.48,Medium,Truck,4.65,4.5,synthetic
Food,293.64,8.26,Low,Truck,5.66,6.97,synthetic
Apparel,378.22,6.91,Medium,Van,8.63,9.05,synthetic
Fragile,99.78,21.32,High,Van,2.26,2.07,synthetic
Pharmaceutical,154.75,4.0,Low,Van,3.71,4.43,synthetic
Fragile,222.51,10.38,Medium,Truck,5.02,6.23,synthetic
Pharmaceutical,398.37,17.08,Low,Truck,9.21,12.86,synthetic
Food,167.4,77.44,High,Van,4.39,4.38,synthetic
Pharmaceutical,180.49,6.43,Medium,Van,4.22,5.29,synthetic
Apparel,306.41,39.81,Medium,Truck,7.13,7.69,synthetic
Documents,252.84,5.23,Critical,Truck,5.03,4.52,synthetic
Apparel,39.71,137.18,High,Truck,0.92,1.05,synthetic
Apparel,69.8,21.84,Critical,Van,1.61,1.55,synthetic
Electronics,119.48,7.43,Medium,Van,3.2,2.68,synthetic
Industrial,117.69,91.56,Medium,Truck,2.69,3.88,synthetic
Electronics,199.03,63.07,Medium,Van,4.66,4.96,synthetic
Other,121.74,30.35,Medium,Van,2.89,3.03,synthetic
Industrial,220.48,30.4,High,Truck,4.9,4.89,synthetic
Industrial,194.37,9.0,Medium,Van,5.27,5.99,synthetic
Pharmaceutical,406.3,78.01,Medium,Truck,9.54,12.0,synthetic
Food,366.95,28.74,Medium,Truck,8.14,8.59,synthetic
Fragile,61.75,12.89,Medium,Van,1.45,2.02,synthetic
Food,238.02,47.84,Medium,Truck,4.53,4.84,synthetic
Industrial,174.99,11.33,Low,Van,4.17,4.74,synthetic
Fragile,132.81,33.89,Medium,Van,2.93,3.74,synthetic
Other,102.2,4.22,Low,Van,2.25,2.9,synthetic
Apparel,435.76,35.48,High,Truck,8.31,7.75,synthetic
Documents,364.81,39.38,Medium,Truck,7.42,7.28,synthetic
Industrial,76.02,11.72,Medium,Van,1.71,1.94,synthetic
Electronics,286.22,79.2,Critical,Truck,5.49,5.06,synthetic
Other,117.63,20.62,Medium,Van,2.92,2.69,synthetic
Other,328.16,103.26,High,Truck,6.37,5.95,synthetic
Industrial,233.69,28.67,Medium,Truck,5.54,6.06,synthetic
Industrial,339.49,32.49,Low,Truck,7.28,8.77,synthetic
Documents,458.28,25.17,Critical,Truck,9.88,7.8,synthetic
Fragile,291.25,216.8,Medium,Truck,6.53,8.27,synthetic
Industrial,168.81,12.95,Medium,Van,4.49,4.32,synthetic
Food,417.52,115.21,Low,Truck,9.16,10.84,synthetic
Fragile,470.53,18.92,High,Truck,8.83,9.14,synthetic
Fragile,212.61,24.99,Critical,Truck,4.33,4.21,synthetic
Electronics,473.14,4.03,Medium,Truck,10.58,10.92,synthetic
Documents,181.32,5.77,High,Van,4.03,3.64,synthetic
Documents,120.62,357.09,Low,Truck,2.28,2.7,synthetic
Fragile,57.55,36.43,Medium,Van,1.31,1.26,synthetic
Other,217.39,164.36,Medium,Truck,4.32,4.39,synthetic
Documents,141.66,29.0,Low,Air,0.25,0.3,synthetic
Fragile,438.83,31.68,Medium,Truck,9.16,10.76,synthetic
Fragile,338.52,119.72,Low,Truck,7.64,10.08,synthetic
Industrial,215.61,26.95,High,Truck,4.89,4.6,synthetic
Electronics,106.76,20.3,Medium,Train,1.65,1.17,synthetic
Food,162.62,24.29,High,Van,4.07,3.62,synthetic
Documents,170.15,194.79,High,Truck,3.22,3.48,synthetic
Fragile,276.55,18.28,High,Truck,6.03,6.12,synthetic
Electronics,128.57,16.79,High,Van,3.5,2.62,synthetic
Other,138.14,21.71,High,Van,3.1,3.04,synthetic
Apparel,146.75,2.15,High,Van,3.71,3.65,synthetic
Fragile,180.29,37.6,High,Van,4.19,4.31,synthetic
Documents,491.68,37.06,Critical,Truck,11.24,9.33,synthetic
Fragile,190.2,5.31,Critical,Van,5.11,4.89,synthetic
Pharmaceutical,430.78,23.3,Medium,Truck,9.43,11.51,synthetic
Fragile,426.64,33.1,Low,Truck,9.58,13.42,synthetic
Apparel,44.88,16.67,Medium,Van,1.14,2.1,synthetic
Food,184.51,9.14,Critical,Van,4.31,3.63,synthetic
Documents,1118.03,42.69,Critical,Air,1.7,1.21,synthetic
Other,586.89,13.36,High,Truck,12.51,11.87,synthetic
Pharmaceutical,165.03,88.84,Medium,Train,2.62,3.34,synthetic
Electronics,153.07,60.47,Medium,Van,3.77,4.27,synthetic
Pharmaceutical,555.24,46.91,Medium,Truck,11.27,13.74,synthetic
Apparel,161.66,27.84,Medium,Van,3.47,4.08,synthetic
Other,474.52,24.76,High,Truck,9.19,8.85,synthetic
Food,281.98,211.21,High,Truck,5.87,5.55,synthetic
Electronics,474.57,7.94,Medium,Truck,11.37,12.33,synthetic
Industrial,81.84,30.38,High,Van,1.85,1.77,synthetic
Food,102.22,8.25,High,Van,2.63,2.05,synthetic
Other,412.84,214.95,Medium,Truck,9.52,10.55,synthetic
Food,215.11,134.88,Low,Truck,5.12,6.01,synthetic
Documents,552.03,35.09,High,Train,9.28,8.78,synthetic
Industrial,331.23,5.29,Medium,Truck,6.96,7.3,synthetic
Food,83.49,124.92,Low,Truck,1.83,2.3,synthetic
Industrial,167.13,23.51,High,Van,4.27,4.1,synthetic
Pharmaceutical,69.93,12.35,Medium,Van,1.63,2.07,synthetic
Fragile,77.81,11.62,Critical,Van,2.04,1.79,synthetic
Fragile,211.28,8.01,Critical,Truck,5.05,4.06,synthetic
Other,237.16,8.48,Critical,Truck,4.57,4.44,synthetic
Fragile,303.89,108.53,Medium,Truck,5.86,6.85,synthetic
Documents,141.39,34.89,Critical,Van,3.57,3.13,synthetic
Electronics,144.49,52.62,Medium,Van,3.62,4.0,synthetic
Documents,333.53,465.99,Low,Truck,7.35,9.16,synthetic
Fragile,259.3,11.36,High,Truck,4.93,4.52,synthetic
Industrial,100.51,6.15,Low,Van,2.65,3.13,synthetic
Other,180.66,74.86,Low,Van,4.55,5.53,synthetic
Fragile,253.88,37.68,High,Truck,5.05,5.16,synthetic
Electronics,93.93,5.87,Low,Van,2.36,2.17,synthetic
Other,249.96,21.6,High,Truck,5.51,5.52,synthetic
Food,116.81,23.82,Critical,Van,2.9,2.77,synthetic
Documents,268.35,33.09,Low,Truck,6.01,6.78,synthetic
Electronics,213.28,4.98,Low,Truck,4.63,5.1,synthetic
Electronics,82.74,47.81,Medium,Van,2.13,2.1,synthetic
Electronics,178.37,192.62,Low,Truck,4.25,5.79,synthetic
Apparel,143.84,117.87,High,Bike,6.37,5.8,synthetic
Fragile,394.26,10.48,High,Truck,8.35,8.64,synthetic
Apparel,167.92,78.47,Critical,Van,3.68,3.02,synthetic
Documents,315.39,13.2,Low,Air,0.48,0.33,synthetic
Food,64.92,14.64,Low,Van,1.76,2.55,synthetic
Apparel,133.83,251.0,Medium,Truck,2.57,3.55,synthetic
Industrial,112.01,106.91,Critical,Truck,2.52,1.65,synthetic
Food,71.09,31.9,High,Van,1.52,1.66,synthetic
Food,507.15,6.62,High,Truck,12.01,10.94,synthetic
Industrial,131.2,224.88,Critical,Truck,2.8,2.22,synthetic
Other,71.82,64.2,High,Van,1.9,1.99,synthetic
Apparel,84.46,9.38,Medium,Van,1.91,1.87,synthetic
Apparel,199.37,17.78,High,Van,5.34,4.85,synthetic
Apparel,279.02,149.15,Medium,Truck,6.63,7.37,synthetic
Industrial,235.12,52.98,High,Truck,4.64,3.89,synthetic
Food,305.55,38.77,Medium,Truck,6.18,6.26,synthetic
Apparel,147.73,6.33,Low,Van,3.75,4.09,synthetic
Documents,39.78,88.84,Medium,Truck,0.89,0.72,synthetic
Documents,197.8,11.26,Critical,Van,4.25,3.55,synthetic
Documents,69.13,16.87,Medium,Van,1.87,2.21,synthetic
Documents,155.65,91.25,Low,Truck,3.3,4.4,synthetic
Food,898.02,25.93,Medium,Truck,20.09,21.65,synthetic
Industrial,250.1,43.57,High,Truck,4.72,4.2,synthetic
Other,57.05,15.39,Medium,Van,1.32,1.59,synthetic
Food,95.53,64.38,Low,Van,2.22,2.59,synthetic
Documents,125.03,13.21,Medium,Van,2.83,3.12,synthetic
Other,713.01,45.38,Critical,Truck,15.41,13.04,synthetic
Industrial,64.76,131.49,Low,Truck,1.25,1.2,synthetic
Fragile,262.55,96.64,Low,Truck,5.59,7.79,synthetic
Electronics,190.32,20.74,High,Van,5.17,4.91,synthetic
Documents,142.48,10.68,High,Van,3.57,2.99,synthetic
Fragile,237.73,113.51,Critical,Truck,4.54,4.65,synthetic
Apparel,246.5,73.31,High,Truck,5.82,5.62,synthetic
Documents,113.67,40.27,Medium,Van,2.84,2.68,synthetic
Industrial,261.58,10.19,Critical,Air,0.46,0.92,synthetic
Other,370.63,22.98,Medium,Truck,7.52,7.6,synthetic
Fragile,661.33,5.08,Medium,Truck,15.68,18.01,synthetic
Fragile,181.46,3.34,High,Van,4.11,4.25,synthetic
Fragile,205.26,13.71,High,Truck,4.46,4.77,synthetic
Industrial,211.06,5.76,Medium,Truck,4.44,4.96,synthetic
Food,258.69,18.98,Medium,Truck,5.1,5.64,synthetic
Other,826.16,5.96,Critical,Truck,15.97,13.43,synthetic
Documents,76.84,22.24,Critical,Van,1.8,1.58,synthetic
Fragile,166.19,89.98,Low,Truck,3.72,5.5,synthetic
Apparel,220.63,152.09,Low,Truck,5.08,6.01,synthetic
Documents,197.21,6.25,Low,Truck,3.98,4.49,synthetic
Other,284.17,168.29,Low,Truck,6.8,8.36,synthetic
Food,180.83,30.32,Medium,Van,4.61,5.29,synthetic
Industrial,246.84,16.32,Critical,Truck,5.56,4.24,synthetic
Pharmaceutical,105.85,24.71,Medium,Van,2.45,2.97,synthetic
Food,110.88,49.79,High,Van,3.01,3.32,synthetic
Other,427.86,101.13,Low,Truck,9.97,11.98,synthetic
Food,39.77,54.09,Medium,Van,1.02,1.04,synthetic
Fragile,79.96,1.61,Critical,Van,2.0,1.56,synthetic
Other,229.12,15.36,Medium,Truck,5.02,5.28,synthetic
Documents,160.58,20.23,Medium,Van,3.69,4.54,synthetic
Food,244.33,75.5,Critical,Truck,4.72,3.84,synthetic
Electronics,158.03,81.48,Low,Truck,2.97,4.16,synthetic
Fragile,109.8,14.66,Low,Van,2.59,3.54,synthetic
Other,174.05,2.23,Medium,Van,4.52,4.36,synthetic
Food,151.34,170.84,Medium,Truck,3.54,3.46,synthetic
Other,156.34,24.37,Low,Van,3.61,4.59,synthetic
Apparel,169.31,36.5,High,Van,4.45,4.24,synthetic
Food,85.79,5.1,Low,Van,2.28,1.92,synthetic
Apparel,102.04,90.48,Medium,Truck,2.26,2.92,synthetic
Other,46.52,5.73,Critical,Air,0.07,0.3,synthetic
Pharmaceutical,241.07,15.46,Medium,Truck,5.22,5.61,synthetic
Fragile,283.88,37.84,Medium,Truck,6.03,7.07,synthetic
Documents,354.12,33.81,High,Truck,7.52,7.36,synthetic
Pharmaceutical,190.65,326.31,Medium,Truck,4.18,5.05,synthetic
Pharmaceutical,234.21,226.54,Low,Train,3.92,5.1,synthetic
Food,370.89,4.0,Critical,Truck,8.73,7.42,synthetic
Pharmaceutical,124.62,16.04,Medium,Van,3.28,3.51,synthetic
Apparel,560.85,24.28,Medium,Truck,12.76,12.73,synthetic
Industrial,139.39,11.2,Medium,Van,3.65,3.93,synthetic
Electronics,191.63,43.2,Medium,Van,4.17,4.14,synthetic
Other,403.33,95.13,High,Truck,8.14,7.64,synthetic
Other,70.71,20.39,Medium,Van,1.86,2.42,synthetic
Pharmaceutical,321.45,14.52,High,Truck,6.98,7.64,synthetic
Electronics,48.86,102.09,Critical,Truck,1.01,0.3,synthetic
Other,468.17,15.34,Low,Truck,9.4,11.5,synthetic
Food,188.58,142.78,Critical,Truck,3.66,3.88,synthetic
Pharmaceutical,321.09,34.78,Medium,Truck,6.94,7.45,synthetic
Other,127.76,19.79,Low,Van,3.2,4.23,synthetic
Apparel,33.48,13.01,Medium,Van,0.75,1.22,synthetic
Other,163.97,14.99,Medium,Van,3.59,3.5,synthetic
Documents,221.02,77.37,Medium,Truck,4.48,4.68,synthetic
Pharmaceutical,133.08,197.71,Critical,Truck,2.84,2.28,synthetic
Food,150.58,5.05,Critical,Van,3.66,3.32,synthetic
Apparel,59.6,5.45,Medium,Van,1.35,1.57,synthetic
Food,212.88,23.05,Medium,Truck,4.06,4.22,synthetic
Apparel,134.55,31.51,High,Van,2.93,2.79,synthetic
Other,227.1,36.24,High,Truck,4.64,4.08,synthetic
